author	keywords
oliviermorin1	article***entérine***usage***très***répandu***auto***archivage***vieilles***publications***plus***souvent***dans***leur***dernière***version***avant***mise***forme***mais***limite***considérablement***imposant***délai***embargo***considérable***bien***deçà***normes***auxquelles***chercheurs***conforment***réellement***plupart***revues***internationales***sont***catégorie***verte***autorisent***diffusion***après***temps***embargo***assez***court***catégorie***gold***impose***embargo***plus***long***mieux***cette***disposition***changera***rien***pratique***actuelle***pire***elle***risque***limiter***royaume***imposé***publication***immédiate***open***access***leur***parution***tous***travaux***issus***financements***publics***disposition***peut***contester***nuancer***mais***fait***bonne***base***départ
superchaton	paucelle***notion***cession***exclusive***éditeur***correspond***hélas***simplement***réalité***lorsqu***article***accepté***chercheur***doit***remplir***formulaire***cession***droits***dans***lequel***donne***minima***éditeur***droit***publier***article***dans***faits***simplicité***certain***nombre***collègues***préfère***carrément***option***transfert***intégral***propriété***éditeur***dans***dans***immense***bonté***éditeur***nous***donne***alors***généralement***mais***toujours***droit***poster***notre***travail***appartient***désormais***archive***ouverte***mais***sans***mise***forme***finale***ainsi***site***personnel***chercheur***commentaire***vécu***différent***hésitez***surtout***intervenir***connaissance***existe***hélas***encore***éditeurs***elsevier***français***autorisent***mise***ligne***version***finale***comme***précisé***dans***article***mais***uniquement***preprint***version***avant***relecture***pairs***comment***faire***dans
jonathancrequer	voté***mitigé***texte***avancée***mais***assez***loin***commentaires***dessous
fredericboulanger	article***constitue***régression***rapport***fait***actuellement***diffusion***preprint***version***acceptée***sans***mise***forme***finale***éditeur***actuellement***possible***sans***durée***embargo***certains***éditeurs***pourquoi***porter***mois***objectif***vraiment***favoriser***libre***accès***travaux***recherche***publique***texte***article***paraît***ainsi***être***contradiction***avec***objectif
sebastienmonchamps	rédaction***état***restreint***très***fortement***peut***être***rendu***public***agit***écrit***publié***sous***certaines***conditions***pourquoi***parler***tout***écrit***scientifique
christianjoschke	heure***recherche***images***prend***plus***plus***importance***dans***projet***prévoit***aucune***mesure***pour***rendre***accessible***recherches***internet***droits***images***pour***publication***ligne***sont***nettement***supérieurs***droits***publication***papier***rendent***impossible***existence***même***revue***ligne***portant***histoire***théorie***images***portails***publications***ligne***suppriment***images***articles***histoire***voir***revue***persée***réduisent***qualité***point***images***deviennent***illisibles***stor***exemple***aucune***publication***sérieuse***histoire***existe***ligne***aucun***essai***aucun***catalogue***exposition***publié***book***conséquence***vois***comment***soutenir***ignore***fait***néglige***travail***éditeurs***chargés***notamment***commander***images***négocier***droits***parfois***même***piloter***réalisation***augmentons***budget***bibliothèques***afin***rendre***accessible***livres***catalogues***expositions***continuent***continueront***être***publiés***éditeurs***professionnels
emmanuelhadoux	comme***dans***autres***commentaires***doit***avoir***période***attente***pour***aller***plus***loin***etat***doit***payer***éditeurs***étrangers***forfait***permettant***chercheurs***financés***etat***français***accéder***ressources***publiées***précédemment***elles***mêmes***financées***etat***français***payer***springer***pour***article***même***écrit***aberration
lucfruchter	faut***réserver***possibilité***négocier***avec***éditeurs***plus***encore***embargo***nous***sommes***présent***menacés***nécessité***payer***éditeurs***pour***publient***articles***scientifiques***serait***donc***souhaitable***réserver***possibilité***négocier***embargo***étendu***contre***gratuité***totale***pour***auteurs***dans***cette***optique***peut***commencer***accorder***privilège***éditeurs***avec***lesquels***nous***auront***plus***alors***aucune***contrepartie***proposer
anamariaalvarezlage	nous***sommes***pour***open***accesset***aussi***pour***coopération***scientifique***internationale***important***diffusion***immédiate***articles***scientifiques***pour***nous***sommes***accord***avec***délai***proposé***communauté***européenne
bernardlegras	enfin***ignore***problème***pérennisation***informations***pose***celles***sont***plus***imprimées***largement***distribuées***mais***centralisées***sous***forme***numérique***doit***confier***cette***tâche***essentielle***préservation***long***terme***éditeurs***privés***sont***nécessairement***pérennes***existence***délai***embargo***frein***diffusion***connaissances***scientifiques***intérêt***institutions***scientifiques***françaises***fonctionnement***actuel***science***implique***diffusion***rapide***restrictive***articles***scientifiques***données***issus***travaux***scientifiques***nombreuses***communauté***sont***structurées***pour***échanger***rapidement***informations***scientifiques***ceci***objectifs***essentiels***programmes***européens***h2020***projet***encontre***cette***tendance***historique***pour***préserver***droits***quelques***éditeurs***fait***fromage***secteur***édition***scientifique***dont***modèle***plus***plus***discuté***faut***souligner***grande***partie***travail***dont***targuent***éditeurs***réalité***effectué***scientifiques***mêmes***gratuitement***pour***éditeurs***dire***pratique***fonds***publics***mise***page***rapports***évaluation***sélection***travail***façon***dont***effectué***garantie***sérieux***publication***caractère***archaïque***outre***souligné***fait***elle***intéresse***écrit***scientifique***alors***enjeu***tout***aussi***important***voire***plus***désormais***accès***données***issues***travaux***scientifiques***aussi***conflit***entre***éditeurs***cherchant***approprier***contrôler***données***communautés***scientifiques***cherchant***diffuser***plus***largement***possible***pour***faire***disparaître***contradictions***principe***général***devrait***guider***toute***recherche***financée***fond***public***doit***voir***résultats***publics***accessibles***tous
