userA	userB	score
monnet	henrigaly	4
barrierejeanpaul	yvesdelavilleguerin	5
benjaminprevost	hugogimbert	4
jeanpierregesbert	clairelemercier	7
maisonobeluc	sbauin	10
guycobolet1	ouriachioussama	3
louisgesbert	emmanuellehelly	3
nicolaslemoine	laurentromary	4
allia	sebastienbenzekry	6
pierrebauvin	vincentreverdy	5
sgl	courtoischantal	3
jeremiedetrey	laurentlopez	3
julienbect	clairelemercier	7
maxenceguesdon	aicardistephane	4
sr	gabrielscherer	3
cavetdominique	nicolasdandrimont	3
jeanbaptistemouret	pablorauzy	3
cecileclavaud	vincentbattesti	3
stephaniegroudiev	aurelienberra	7
sophiepochic	aicardistephane	3
adelineregeuniversitedestrasbourg	odilebenassy2	5
silvanodalzilio	fredericherbreteau	3
guycobolet1	benjaminbourdon	3
christofschoch	favreguillaume	3
elodieponcet	jeanpierregesbert	4
teodorknapik	romainbazile	3
olivierchapuis	annebergez	4
arramyleroux	bernieseek	3
stephaniegroudiev	christofschoch	5
jeannevarasco	paulgirard	4
davidmonniaux	audeleblond	3
virgileprevosto	schwartzlionel	3
virgileprevosto	abharmach	4
mariehelenedacos	jozefinasadowska	3
francoisrevol	nicolasbraudsantoni	5
antoineamarilli	marieannepaveau	5
leoducas	jeremiebettinelli	5
javellejeanpierre	audreysteinberger	3
sr	gambazza	4
matthieumoy	chantalviala	3
vincentdanjean	becache	3
jeanchristophepeyssard	sbauin	11
noelthiboud	moniqueteillaud	3
celinesmith	martinecourbincoulaud	4
mathieublanchard	marielaurebretin	5
valeriehurtevent1	nolwennmaudet	3
jeremiedetrey	louisgesbert	6
balmon	virgileandreani	4
francoislermigeaux	chauvinbrigitte	3
frederichelein	huguessamyn	4
ernoult	pierrickgaudry	4
adelineregeuniversitedestrasbourg	samsond	3
bernadettebergeret	coret	3
pierre1	christinekosmopoulos	3
claudeniatel	jeremiebettinelli	5
mathieuperona	silvanodalzilio	3
stephaniegroudiev	philippeschnoebelen	3
leblancannie	marielaurebretin	3
oliviercleynen	christinekosmopoulos	3
balmon	noelthiboud	3
marcjeanmougin	vincentreverdy	13
fredericdanielluclehobey	nieddu	3
inradistodilehologne	juliejanody	4
2	sgl	5
thomaslamarche	francoisducrocq	4
jeanchristophepeyssard	olivierpantale	3
ludivineabd	mihaelasighireanu	5
guycobolet1	deputeeisabelleattard	3
mathieuperona	jeanfrancois	3
lionelrieg	catusciapalamidessi	3
mariehelenedacos	juliejanody	5
cedrictemple	dissemin	4
catherineperrin	bernieseek	3
pierrickkoch	silvanodalzilio	5
sonneville	sbauin	4
mathieublanchard	stephaniedordcrousle	5
hugol	duflotjeanluc	7
frederichelein	bernardloic	3
antoinelejay	emmanuellecorne	4
pierrickkoch	charlenecriton	4
noelthiboud	paulgirard	3
valerielarroque	nicolaspetitdemange	3
pascalelalot	hugol	5
damienrobert	henrigaly	7
pierreboulet1	samuelauthueil	3
pierrev	nicolasdumoulin	3
remiwatrigant	chauvinbrigitte	4
samsond	ratsimandravasuzanne	3
alainmarois	deputeeisabelleattard	7
frederiquelangue	laurentbercot1	4
josettelapeyre	darquy1	4
lionelrieg	damienrobert	4
christophebrocquet	stornecatherine	3
mag	nolwennmaudet	4
cavetdominique	claudeniatel	8
dominiqueroux	clairelemercier	5
sgl	virgileandreani	5
leboecla	emiliebrunet	5
simona	davidbaelde	4
frederichelein	chevallierchantepie	4
mauleskinemouraby	dissemin	4
hugol	sylvaincrovisier1	4
benjaminprevost	darquy1	3
stephanepouyllau	sgl	3
chantalviala	sbauin	5
nikolaykovachev	jeanfrancoislutz	6
annecanteaut	mathildedacos	3
mariehelenedacos	pascalweil	4
pierre1	pbernard	3
sorouletpillon	christineleininger	4
chevallierchantepie	maximeaudinot	3
thierryfournier	suzannemallet	3
benoitpier1	philippehoudry	3
huguesvanbesien	giselemaxit	3
pascalearaujo	emmanuellehelly	3
gabrielscherer	cecileadamolle	3
maisonobeluc	gambazza	4
laurevieu	marlenedelhaye	3
pierrickkoch	remiwatrigant	3
julienbect	romainboistel	5
editionsdalloz	jeanmarcbocabeille	3
geraldineniateldacos	nicolasbraudsantoni	4
pierre1	mihaelasighireanu	4
jeanbaptistemouret	rmathis	4
louisjachiet	inptoulouseinstitutnationalpolytechniquedetoulouse	3
bernadettebergeret	fizcus	3
duflotjeanluc	frederiqueflamerie	4
franckinfodocbib1	ralphmatthes	3
marcjeanmougin	colettecadiou	3
juliengrenet1	olivierjacquot	4
emiliebrunet	valentinplichon	4
louisjachiet	odilebenassy2	4
emiliebrunet	mathildedacos	5
clementtisserant	sarraderafaele	4
thierryfournier	eliemichel	5
alexanderdoria	romainbazile	3
gibierfrancois	olivierlegall1	4
marcjeanmougin	virgileandreani	10
ericdaspet	brundominique1	3
julianbh	anthoinebourgeois	3
claudeniatel	davidmonniaux	6
teodorknapik	merlet	4
julienbect	ouriachioussama	4
sandrinemalotaux	fizcus	3
christineollendorff	nicolasdumoulin	4
alabau	abharmach	3
hankahensens	paulgirard	4
annickvalibouze	cypriengay	4
mauran	jeannevarasco	5
horatiucirstea	bibliothequeuniversitairedeslanguesetcivilisations	3
gregallaire	lucazeau	3
souzani	christineollendorff	4
ackervalerie	roux3	4
louisgesbert	pierre1	6
leboecla	brundominique1	3
christofschoch	cedrictemple	3
christinekosmopoulos	frederichelein	6
lafaitjacques	moniqueteillaud	3
cecileclavaud	hugogimbert	4
lionelrieg	cypriengay	4
julianbh	guycobolet1	3
maisonobeluc	mathildedacos	4
dominiqueroux	stephanepouyllau	6
francoisrevol	cedrictemple	5
adrienchopin	sebastienbenzekry	3
aurelienberra	bernieseek	4
elodieponcet	olivierlegall1	7
louisjachiet	jeanchristophebach	3
celinefouga	barbarameazzi	4
emiliebrunet	guillaumeaupy	3
francoisrevol	hugol	5
gaelbordet	gregoire	5
louiseberaudlefranc	salvetatfrancoise	3
courtoischantal	frederiqueflamerie	5
sr	coret	3
frederichelein	alexiskauffmann	3
jeankempf	olivierlegall1	3
ernoult	thomaslamarche	3
maxb	jeanfrancois	6
jeanmallet	vincentdanjean	3
guillaumecabanac	adrienchopin	4
olivierchapuis	julienbect	3
charara	vincentreverdy	4
mathieublanchard	sophiepochic	3
romainboistel	fabienmalbet	4
mathieublanchard	sarraderafaele	3
apincetre	sandrinemalotaux	3
horatiucirstea	laurentromary	4
antoinelejay	merlet	3
aymerich	pascalweil	3
louisjachiet	severinlemaignan	3
celialentretien	adrienchopin	3
chantalviala	davidmonniaux	4
stephanemagnier	rousseletlouis	3
frederiquelangue	hcyinguyenvan	4
huguesvanbesien	chantalbarutau	3
brunodurand	sylvainschmitz	3
adelineregeuniversitedestrasbourg	fredericdanielluclehobey	3
nicolasbraudsantoni	leclercarmelle	3
annebergez	gregoire	3
elodieponcet	marindacos	4
laurent	leoducas	3
fredericdanielluclehobey	christofschoch	3
sr	olivierlegall1	5
aurelienberra	barbarameazzi	5
celinefouga	jeanlucdeochandiano	3
francoisrevol	baratault	4
